Part,Quantity,Cost,Link
20x80mm Perfboard,1,$7.99,https://www.amazon.com/Rindion-Compatible-Prototype-Electronics-Soldering/dp/B0DBZ1BXFZ/ref=sr_1_10?crid=1LS0810F9QLHM&dib=eyJ2IjoiMSJ9.aOVEo2o-HzGZa1VxBI4AN1nKhbtQRkdqPYeei-bPBk-AYS8fiMepjsX24L2cz8P1a2UiC7LMB3dWYzgO1gZB38uavLKdJ_Mfal8QqlS9RXDKH_AJ1NwLju2VrVdlkwyOb_6Td6Nz37N6Zw7_dXMNdDxg-N40jKTkxlUJe52R7H0VOLazUli7K-TmSc64a75W-5DBoWRvllUD9B7cB0xZ9EGNoZjpgxAJAuNrq9F7ro4.wK0_jbAKB54wJhMgUlZHCUBuBShGpODKMc9cwzEXJHI&dib_tag=se&keywords=perfboard+kit&qid=1789010725&sprefix=perfboard+ki%2Caps%2C266&sr=8-10
6x6mm Tactile Push Button,1,$6.99,amazon.com/QTEATAK-Momentary-Tactile-Button-Switch/dp/B07VSNN9S2/ref=sr_1_1_sspa?crid=1B05DR7I0GC5L&dib=eyJ2IjoiMSJ9.t9pKI5lSBw1wTrP2L6sNdGsE92_junkA-lWwAAAsaD19Myob-4Q6Lv8-U9DZbhM94Idt5kW_BntEz1YCks-1LufsQeJuflV0zkSZBm0MEw3maUovwRHnd99iVDhMrHvGEJZz0QH9CF9KyScLwKqOw8pBw8fDrPaUuinnwlVuA-077jGUJ_1qUGXkf_0cDLE5FMIvCmQDmy-0qq_-y_TiArly28g5hvBA1DzEGnlQuaU.BnQsZJ47AC6zeiHzv8z7a-76qdWAlhUON8r8pME17tk&dib_tag=se&keywords=6x6mm+tactile+push+button+switch&qid=1789010802&sprefix=6x6mm+%2Caps%2C249&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
5mm LED,1,$4.59,https://www.amazon.com/California-JOS-50-PCS-Colorful/dp/B0CR886L92/ref=sr_1_3?crid=377HRZD2NKHTX&dib=eyJ2IjoiMSJ9.vePaneMhlr1inA10ONCv-SLW_JMVHb1gxzDMgtnCyyOh54SaDYk7OqDf62LQtjRMDOEozrU27-B7ifDxO4h4g_iCoQNuwAZxroZIRss1TPppRiCh4U7d2bP8IQiw_3WM2Yotij9JlvGHR7yQm49n_VFKAqASw_Ry9J9xj_1S9_O5vviZz82ulbZfSztYzLteQNtVxPE2XSwwFJqlPKpYnikdJyhkcXKPnWn_jJpGpao.-1-hrtgWnhrc6o4sb87aqwDX5N7BeDIFRMe8hsEND90&dib_tag=se&keywords=5mm%2BLED&qid=1789010858&sprefix=5mm%2Bled%2Caps%2C231&sr=8-3&th=1
220ohm Resistor,1,$4.99,https://www.amazon.com/California-JOS-Resistance-CJ50-004-220/dp/B0BDKQSZHM/ref=sr_1_3?crid=3KPYK133DRAOT&dib=eyJ2IjoiMSJ9.pq8IXZtwkjU13efAoUQ01zBUlR2f2Y7f-E16x07ioTKYOwKh74jaeP0cnR0W_t07TuM39a3EwyTAyaHAG43TQL4H5T7FbfuV80ZUQVzZF2KG_jedVxGOxwqocjrXO4fiXPM7oST0dN7uytN8p14avVtkZ4XiAwQRaNHOvW_r-k0jRidR-h8p5OkSipojdDKKWie9Tgd_yYhhmEgBEHke0oUnFOb1S--SbKQbo6c8ldg.PDj-CfC3wcw3qPZavRhsMq4HVZBvK8_swenoaaKvqfs&dib_tag=se&keywords=220%2Bohm%2Bresistor&qid=1789010913&sprefix=220%2Bohm%2Bresis%2Caps%2C296&sr=8-3&th=1
128x64 OLED,1,$2.99,amazon.com/Hosyond-Display-Self-Luminous-Compatible-Raspberry/dp/B09T6SJBV5/ref=sr_1_1_sspa?crid=GJNXEKMR3BY9&dib=eyJ2IjoiMSJ9.6uJuI5cggaMKzcvI3mu-diOU5mtas3ObkIP02oYgUGtStWePqw7foqGvI3Lo_S72bIv6_f_T_ub5ifNMQT7pRo0SJeF3dUlW9Nk3-5bb5X9Jj-tNYleabG-cz0UJuLIparNhsHL4r44jx4uzWQBF_MhSVi9cjMKNmGed8Ev7_0KqCZ-CpoVXuLFfkhCKnUndZ9KIa3aIMbjY9LmjcRJaR1FHkd2VcQeCloPOlJcYYQU.Rfl_tVqOLGw_IXkowmJ1NkscO11ivreFlA70ct8F3io&dib_tag=se&keywords=128x64+oled+display&qid=1789010948&sprefix=128x64%2Caps%2C214&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
WCH-LinkE,1,$4.49,https://www.aliexpress.us/item/3256806249307626.html?spm=a2g0o.productlist.main.15.68665182QeSBrN&algo_pvid=949e7e5c-3cb4-45b5-a102-786dfd6ae981&algo_exp_id=949e7e5c-3cb4-45b5-a102-786dfd6ae981-14&pdp_ext_f=%7B%22order%22%3A%22130%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.10%214.49%21%21%21127.44%2129.99%21%402101ef5e17890115657871846e0e67%2112000037158210354%21sea%21US%218121010526%21X%211%210%21n_tag%3A-29911%3Bd%3A1f9ab6b9%3Bm03_new_user%3A-29895%3BpisId%3A5000000215683820&curPageLogUid=V20ERlWJobIz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006435622378%7C_p_origin_prod%3ACH32X035 Devboard,1,Preowned,
Tax/shipping,,$3.28, 
Total,,$23.74, 
